Large_Classification;Middle_ Classification;Small_Classification;Detail_Classification
Processing Technologies;Surface Treatment/Heat Treatment;Surface Treatment (Others);
Processing Technologies;Surface Treatment/Heat Treatment;Heat Treatment;
Processing Technologies;Surface Treatment/Heat Treatment;Plating;
Processing Technologies;Surface Treatment/Heat Treatment;Painting;
Processing Technologies;Other Processing;;
Processing Technologies;Rubber Parts;Extrusion Rubber Molding Parts;
Processing Technologies;Rubber Parts;Injection Rubber Molding Parts;
Processing Technologies;Rubber Parts;Rubber Metal Parts;
Processing Technologies;Jig & Tools;Retention Tool;Tool Holder
Processing Technologies;Jig & Tools;Retention Tool;Collet
Processing Technologies;Jig & Tools;Retention Tool;Arbor
Processing Technologies;Jig & Tools;Retention Tool;Boring Bar
Processing Technologies;Jig & Tools;Retention Tool;Turret
Processing Technologies;Jig & Tools;Retention Tool;Chip Holder
Processing Technologies;Jig & Tools;Retention Tool;Ware Fit Holder
Processing Technologies;Jig & Tools;Cutting Tool;Drilling Hole Finishing Tool
Processing Technologies;Jig & Tools;Cutting Tool;Gear Cutting Tool
Processing Technologies;Jig & Tools;Cutting Tool;Dresser
Processing Technologies;Jig & Tools;Cutting Tool;Various Drilling Tolls
Processing Technologies;Jig & Tools;Cutting Tool;Rolling Tool
Processing Technologies;Jig & Tools;Cutting Tool;Grinding Whetstone
Processing Technologies;Jig & Tools;Cutting Tool;Throw-away Chip
Processing Technologies;Jig & Tools;Cutting Tool;Turning Tools
Processing Technologies;Jig & Tools;Cutting Tool;Broach
Processing Technologies;Jig & Tools;Cutting Tool;Other Cutting Process Tools
Processing Technologies;Jig & Tools;Cutting Tool;CBN Tool
Processing Technologies;Jig & Tools;Cutting Tool;Milling Tool
Processing Technologies;Jig & Tools;Cutting Tool;Threading Tool
Processing Technologies;Jig & Tools;Cutting Tool;Diamond Tool (Incl. DLC)
Processing Technologies;Jig & Tools;Other Jig & Tools;Other Jig & Tools/Instruments/Equipments
Processing Technologies;Jig & Tools;Welding Jig & Tools;Work Locater (Part Positioning)
Processing Technologies;Jig & Tools;Chuck;Magnetic Chuck
Processing Technologies;Jig & Tools;Chuck;Tailstock
Processing Technologies;Jig & Tools;Chuck;Collet
Processing Technologies;Jig & Tools;Chuck;Chuck
Processing Technologies;Jig & Tools;Clamper;Angle Plate
Processing Technologies;Jig & Tools;Clamper;Tail Control
Processing Technologies;Jig & Tools;Clamper;Base
Processing Technologies;Jig & Tools;Clamper;Work Locater (Part Positioning)
Processing Technologies;Jig & Tools;Clamper;Mandrel
Processing Technologies;Jig & Tools;Clamper;Clamp
Processing Technologies;Plastic Molded Parts;Extrusion Plastic Molding Parts;
Processing Technologies;Plastic Molded Parts;Blow Molded Parts;
Processing Technologies;Plastic Molded Parts;Form Molded Parts;
Processing Technologies;Plastic Molded Parts;Plastic Injection Molded Parts;
Processing Technologies;Plastic Molded Parts;Resin Processing Parts (Others);
Processing Technologies;Die;Casting;Lost-Wax Mold
Processing Technologies;Die;Casting;Shell Mold
Processing Technologies;Die;Casting;Sand Mold
Processing Technologies;Die;Plastic Processing Mold;Rolling Process
Processing Technologies;Die;Plastic Processing Mold;Hydraulic forming
Processing Technologies;Die;Plastic Processing Mold;Swaging
Processing Technologies;Die;Plastic Processing Mold;Spinning
Processing Technologies;Die;Plastic Processing Mold;Tube Forming
Processing Technologies;Die;Plastic Processing Mold;Rolling
Processing Technologies;Die;Stamping Die;Components for Metal Molding
Processing Technologies;Die;Stamping Die;Metal Mold Peripheral Equipment/Device
Processing Technologies;Die;Stamping Die;Components for Die Casting
Processing Technologies;Die;Stamping Die;Finishing
Processing Technologies;Die;Stamping Die;Components for Stamping Die
Processing Technologies;Die;Stamping Die;Metal Molding Surface Treatment
Processing Technologies;Die;Stamping Die;Casting & Forging Die/Tools
Processing Technologies;Die;Forging Die;Cold Forging
Processing Technologies;Die;Forging Die;Warm Forging
Processing Technologies;Die;Forging Die;Hot Forging
Processing Technologies;Die;Forging Die;Extrusion
Processing Technologies;Die;Forging Die;Upsetting
Processing Technologies;Die;Plastic Mold;Injection Molding
Processing Technologies;Die;Plastic Mold;Vacuum Forming
Processing Technologies;Die;Plastic Mold;Two-Color Molding
Processing Technologies;Die;Plastic Mold;Blow Molding
Processing Technologies;Die;Plastic Mold;Form Molding
Processing Technologies;Die;Plastic Mold;Rubber Molding
Processing Technologies;Die;Die Casting Mold;PDC
Processing Technologies;Die;Die Casting Mold;Zinc DC
Processing Technologies;Die;Die Casting Mold;Magnesium DC
Processing Technologies;Die;Die Casting Mold;LPDC
Processing Technologies;Die;Metal Mold Components;Stripper Plate
Processing Technologies;Die;Metal Mold Components;Die
Processing Technologies;Die;Metal Mold Components;Ejector
Processing Technologies;Die;Metal Mold Components;Die Plate
Processing Technologies;Die;Metal Mold Components;Punch
Processing Technologies;Die;Metal Mold Components;Feeder
Processing Technologies;Die;Metal Mold Components;Die Set
Processing Technologies;Die;Metal Mold Components;Guide Bushing
Processing Technologies;Die;Metal Mold Components;Gripper
Processing Technologies;Die;Metal Mold Components;Metal Mold Base
Processing Technologies;Die;Metal Mold Components;Guide Pin
Processing Technologies;Die;Metal Mold Components;Cushion Spring
Processing Technologies;Metal Forming Process;Stamping Parts;Fine Blanking Parts
Processing Technologies;Metal Forming Process;Stamping Parts;Tailored Blanking Parts
Processing Technologies;Metal Forming Process;Die Cast Parts;Magnesium Die Cast Parts
Processing Technologies;Metal Forming Process;Die Cast Parts;Aluminuium Die Cast Parts
Processing Technologies;Metal Forming Process;Metal Forming Process (Others);
Processing Technologies;Metal Forming Process;Casting Parts;Aluminum Casting Parts
Processing Technologies;Metal Forming Process;Casting Parts;Cast Iron Parts
Processing Technologies;Metal Forming Process;Aluminum Extrusion Forming Parts;
Processing Technologies;Metal Forming Process;Machining Parts;Aluminum Machining
Processing Technologies;Metal Forming Process;Sintered Parts;
Processing Technologies;Metal Forming Process;Hydraulic Forming Parts;
Processing Technologies;Metal Forming Process;Forged Parts;Hot Forged Parts
Processing Technologies;Metal Forming Process;Forged Parts;Cold Forged Parts
Processing Technologies;Metal Forming Process;Forged Parts;Warm Forged Parts
Processing Technologies;Assembly/Welding;Welding;
Processing Technologies;Assembly/Welding;Assembly;
Components;Suspension / Steering / Wheel & Tire;Suspension;Transverse Link
